cisp;mes;ano;mes_ano;aisp;risp;munic;mcirc;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias;fase
75;2;2020;2020-02-01;7;4;São Gonçalo;3304904;Grande Niterói;9;0;0;9;3;12;3;41;2;1;31;76;12;1;89;50;11;3;0;0;1;0;0;44;198;8;9;1;6;43;67;0;0;0;13;10;3;7;0;33;13;1;2;1;34;6;0;0;0;0;490;3
76;2;2020;2020-02-01;12;4;Niterói;3303302;Grande Niterói;2;0;0;2;1;3;2;43;1;2;16;44;20;2;66;11;4;3;0;0;1;0;0;14;99;19;57;8;76;235;403;0;0;0;52;12;3;8;1;11;36;4;25;9;26;2;0;0;0;0;809;3
77;2;2020;2020-02-01;12;4;Niterói;3303302;Grande Niterói;0;0;0;0;1;1;1;39;1;0;21;34;10;3;47;8;3;4;1;0;0;0;0;7;70;3;18;3;9;49;86;0;1;0;54;5;2;3;0;10;14;3;8;0;25;0;1;0;0;0;431;3
78;2;2020;2020-02-01;12;4;Niterói;3303302;Grande Niterói;1;0;1;2;3;5;4;43;7;5;29;53;15;6;74;23;9;4;0;0;0;0;0;15;125;13;10;3;13;51;91;0;2;0;29;9;2;6;1;9;19;2;4;3;27;3;0;0;0;0;458;3
79;2;2020;2020-02-01;12;4;Niterói;3303302;Grande Niterói;0;0;0;0;0;0;0;23;2;0;19;14;3;1;18;13;0;3;1;0;0;0;1;5;41;3;7;1;3;19;39;0;1;0;12;7;2;5;0;4;9;0;8;2;12;2;0;0;0;0;223;3
81;2;2020;2020-02-01;12;4;Niterói;3303302;Grande Niterói;1;0;0;1;0;1;1;47;2;0;17;22;4;2;28;10;0;1;0;0;0;0;0;1;40;13;12;2;4;29;60;0;0;0;8;12;0;12;0;6;12;11;2;1;24;1;0;0;0;0;262;3
82;2;2020;2020-02-01;12;4;Maricá;3302700;Grande Niterói;2;0;0;2;0;2;0;50;11;2;22;27;16;0;43;7;1;6;6;0;0;0;0;1;64;13;18;2;17;68;121;0;1;0;23;13;4;9;0;12;29;10;2;2;62;5;0;0;0;0;525;3
88;2;2020;2020-02-01;10;5;Barra do Pirai;3300308;Interior;2;0;0;2;0;2;5;27;1;1;1;3;0;0;3;1;1;0;0;0;0;0;0;0;5;3;3;1;5;24;38;0;0;0;9;35;12;19;4;2;15;4;7;2;24;3;1;0;0;0;217;3
89;2;2020;2020-02-01;37;5;Resende;3304201;Interior;5;0;0;5;1;6;5;43;2;0;10;11;2;3;16;1;1;6;0;0;0;0;0;3;27;3;2;0;7;47;61;0;2;0;16;20;3;17;1;4;31;7;5;3;36;3;0;0;0;0;382;3
90;2;2020;2020-02-01;28;5;Barra Mansa;3300407;Interior;3;0;0;3;0;3;13;50;0;1;4;9;3;1;13;0;0;5;0;0;0;0;0;4;22;7;8;2;7;34;59;0;1;0;13;29;8;23;1;5;50;10;14;1;58;2;0;0;0;0;350;3
91;2;2020;2020-02-01;10;5;Valença;3306107;Interior;1;0;0;1;0;1;4;27;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;8;13;0;0;0;9;30;22;8;0;2;9;2;5;1;31;0;0;0;0;0;177;3
92;2;2020;2020-02-01;10;5;Rio das Flores;3304508;Interior;0;0;0;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;0;0;0;0;3;0;2;1;0;2;0;2;0;4;0;0;0;0;0;28;3
